timestamp,gyroscope-x,gyroscope-y,gyroscope-z,accelorometer-x,accelorometer-y,accelorometer-z,resultant-g,label
1667301264,8.9,-11.87,0.06,0.71,0.89,0.39,1.21,Fall
1667301264,4.12,30.43,-23.69,0.68,0.88,0.4,1.19,Fall
1667301264,5.25,24.69,-23.02,0.67,0.89,0.48,1.22,Fall
1667301264,11.47,16.16,-33.9,0.62,0.81,0.41,1.1,Fall
1667301264,24.53,-17.14,-36.44,0.58,0.74,0.39,1.02,Fall
1667301264,28.21,-43.22,-94.9,0.32,0.66,0.39,0.83,Fall
1667301264,40.83,49.73,-215.24,-0.15,0.38,0.11,0.42,Fall
1667301264,109.73,-53.04,-237.69,0.02,-0.04,-0.24,0.25,Fall
1667301265,5.6,130.77,3.02,-1.16,0.01,0.37,1.22,Fall
1667301265,-61.1,-104.53,-102.72,0.71,-0.17,0.32,0.8,Fall
1667301265,-16.86,-10.79,-73.87,0.54,-0.78,0.43,1.04,Fall
1667301265,-6.31,22.99,46.17,0.14,-0.53,0.49,0.74,Fall
1667301265,24.13,15.16,92.49,-0.08,-0.66,0.57,0.87,Fall
1667301266,45.16,-69.71,82.51,-0.18,0.03,0.92,0.94,Fall
1667301266,1.8,-138.33,11.33,0.23,0.04,1.2,1.22,Fall
1667301266,6.95,-63.36,-71.55,0.37,0.11,1.11,1.18,Fall
1667301266,16.23,-54.5,-69.39,0.4,0.38,1.17,1.3,Fall
1667301266,8.61,4.75,-41.83,0.51,0.34,1.23,1.38,Fall
1667301266,16.14,16.7,-12.14,0.51,0.36,1.25,1.4,Fall
1667301267,-15.71,-23.89,-17.33,0.41,0.46,1.26,1.4,Fall
1667301267,3.67,-5.87,-17.85,0.54,0.17,1.37,1.48,Fall
1667301267,-11.09,58.12,-20.37,0.31,0.2,1.28,1.34,Fall
1667301267,19.68,15.37,-19.64,0.21,0.11,1.3,1.32,Fall
1667301267,6.48,-41.71,19.3,0.38,0.12,1.21,1.27,Fall
1667301267,6.85,-5.44,-4.74,0.28,0.26,1.33,1.38,Fall
1667301267,-9.9,-33.5,38,0.45,0.13,1.39,1.47,Fall
